icao_id,airport,reported,temperature,dewpoint,wind_direction,wind_speed,visibility,cloud_cover,latitude,longitude
KLAX,LAX,2024-07-31 19:00:00,69,60,WSW,8,7,FEW,33.9382,-118.387
KSMO,Santa Monica,2024-07-31 19:00:00,68,59,SSW,6,10+,CLR,34.021,-118.447
KHHR,Hawthorne,2024-07-31 19:00:00,74,59,WNW,7,10+,CLR,33.9235,-118.333
KEMT,El Monte,2024-07-31 19:00:00,81,55,SW,5,10+,CLR,34.0882,-118.034
KBUR,Burbank,2024-07-31 19:00:00,84,54,ESE,6,10+,CLR,34.1996,-118.365
KTOA,Torrance,2024-07-31 19:00:00,72,61,W,12,10+,FEW,33.803,-118.336
KVNY,Van Nuys,2024-07-31 19:00:00,87,45,N,0,10+,CLR,34.2121,-118.491
KCMA,Camarillo,2024-07-31 19:00:00,76,64,SW,7,9,CLR,34.2114,-119.088
KOXR,Oxnard,2024-07-31 19:00:00,68,59,W,8,10+,CLR,34.2001,-119.204
KFUL,Fullerton,2024-07-31 19:00:00,78,58,SSW,4,8,CLR,33.8715,-117.986
KLGB,Long Beach,2024-07-31 19:00:00,72,60,S,6,10+,CLR,33.8118,-118.147
